Text,Positive,Neutral,Negative,Compound,Category
"The Most Dangerous People on the Internet in 2024: From Elon Musk and Donald Trump to state-sponsored hackers and crypto scammers, this was the year the online agents of chaos gained ground.",0.067,0.749,0.183,-0.6697,Negative
"Geopolitics and AI will affect the chip industry in 2025 | KPMG: AI is making semiconductor leaders more optimistic about 2025, but headwinds could come from geopolitical and talent retention concerns.",0.164,0.836,0.0,0.6701,Positive
"Moselle Lock Closure: How To Mitigate Supply Chain Disruption: As a result of the Moselle River accident, this critical waterway is now out of service for many months, which could have economic consequences.",0.0,0.779,0.221,-0.8034,Negative
"NATO is working to reroute data through space, fearing Russia could slice undersea internet cables: Threats to the West's vital communications networks are escalating.",0.074,0.707,0.219,-0.6486,Negative
"The FDA says the shortage of popular weight loss drug Zepbound is over. Here's what that means for patients.: The weight loss medication tirzepatide (Mounjaro and Zepbound) is no longer in shortage, according to the FDA. Access to cheaper versions could end.",0.056,0.726,0.218,-0.7184,Negative
"4 Priorities Businesses Must Master For Success In 2025: As the business landscape evolves, leaders must focus on supply chain resilience, sustainability, workforce adaptability, and AI-driven innovation to stay competitive.",0.235,0.765,0.0,0.7906,Positive
Can digital resilience be achieved beyond the IT perimeter?: To meet the current and future needs for digital resilience organizations need to see their entire digital supply chain.,0.0,1.0,0.0,0.0,Neutral
Is Bringing Manufacturing Home Just An American Dream?: Tariffs and Covid-19 supply chain disruptions have made the need for domestic manufacturing more apparent than ever. But manufacturing at home is easier said than done.,0.099,0.856,0.045,0.4588,Positive
"ASEAN’s Second Renaissance Is Now: The COVID-19 pandemic and an increasingly volatile global environment have highlighted supply-chain vulnerabilities that could jeopardize ASEAN’s economic outlook. To reduce these risks, the group, under Malaysia’s chairmanship next year, must diversify its s…",0.0,0.909,0.091,-0.4019,Negative
"US market recovery to boost Indian tech stocks: Manish Sonthalia: ​So, anybody and everybody can win who can get the supply chain and the unit economics right, but more comfortable in public portfolios in companies which have already demonstrated profitability and growth, so that is the reason why we have Zomato as a prefer…",0.24,0.76,0.0,0.9348,Positive
"20 Essential Elements Of A Robust Business Continuity Plan: When disaster strikes, a well-crafted business continuity plan can mean the difference between seamless recovery and prolonged disruption.",0.074,0.646,0.28,-0.7717,Negative
How Overseas Conflicts Impact Trade Finance: The interconnectedness of global trade means no nation is immune to the impacts of geopolitical conflicts.,0.08,0.652,0.268,-0.6369,Negative
"The Egg Shortage, Explained—Why Are Eggs So Expensive?: Learn why there’s an egg shortage in 2024, how bird flu has impacted chicken farms, and what it means for consumers in California and beyond.",0.0,0.82,0.18,-0.6808,Negative
"Q&A: How AI helps make anti-fragile supply chains the new normal in 2025: Supply chains, ever more complex worldwide, are nonetheless on course to excel at handling whatever disruption comes their way. With innovative use of AI applied to lessons learned from the global market disruptions of recent years, global and domestic supply…",0.138,0.782,0.08,0.5574,Positive
"Machine identities are the next big target for attackers: 86% of organizations had a security incident related to their cloud native environment within the last year, according to Venafi. As a result, 53% of organizations had to delay an application launch or slow down production time; 45% suffered outages or disrup…",0.042,0.795,0.163,-0.7783,Negative
"Five Cloud-Based Digital Transformations For Fast ROI In Manufacturing: For manufacturers looking to realize quick returns on investment from cloud transformation initiatives, the focus should be on high-impact, data-driven use cases.",0.0,1.0,0.0,0.0,Neutral
Nvidia unveils a fleet manager for warehouse robots: One of the many AI Blueprints launched by Nvidia at CES is designed to help you manage your fleet of robots.,0.139,0.861,0.0,0.4939,Positive
"U.S. Meatpacking Industry Faces Crisis As Trump's Deportation Plans Threaten Workforce: Heavily dependent on immigrant labor, the sector braces for disruption as deportations threaten labor shortages, higher prices, and operational instability.",0.0,0.66,0.34,-0.9081,Negative
Rare Earth Ban Fuels Doubt About The Viability Of The US Auto Industry: The transition to electric vehicles will happen far faster than is commonly understood. The Chinese bans on rare earth adds headwinds for US EV manufacturers.,0.0,0.855,0.145,-0.7269,Negative
"Accelerating Growth During Uncertainty: 4 Strategic Catalysts For CEOs: Uncertainty in the marketplace demands CEOs proactively plan, define strategic pivots and galvanize teams to move their organizations forward.",0.083,0.764,0.153,-0.296,Negative
"Top 10 Tech Articles Of 2024: As 2024 comes to a close, here's a look back at some of the tech stories that caught my eye in the past year.",0.062,0.938,0.0,0.2023,Positive
"Good Times Restaurants Inc. (GTIM) Q4 2024 Earnings Call Transcript: Good Times Restaurants Inc. (NASDAQ:GTIM) Q4 2024 Results Conference Call December 12, 2024 5:00 PM ETCompany ParticipantsKeri August - Senior Vice...",0.172,0.828,0.0,0.7003,Positive
"Post-Globalization: 5 Steps For Business Leaders Outside The US: How global executives are assessing the US presidential election, taking quick tactical action, and making strategic plans.",0.0,1.0,0.0,0.0,Neutral
"Motor finance in 2025: driving the shift to BEVs amid industry disruption: The road to electrification continues to reshape the automotive landscape, with affordability, infrastructure, and new market entrants poised to dominate the...",0.056,0.833,0.111,-0.25,Negative
"Fact-check: Donald Trump’s latest claims on tariffs, murders and more: Trump discussed deportation, birthright citizenship, tariffs, false claims, and pardons for January 6 convicts.",0.081,0.772,0.147,-0.4215,Negative
Cracking Down On Gift Card Fraud: This increasingly prevalent form of theft leaves victims frustrated and retailers liable.,0.11,0.53,0.36,-0.765,Negative
"AI Focal Point of Cybersecurity Outlook for 2025, Says Experian: Artificial intelligence is at the center of Experian’s annual breach forecast due to its enabling capabilities. Michael Bruemmer, vice president of global data breach resolution at information services company, said that while ransomware and breaches affectin…",0.064,0.936,0.0,0.4767,Positive
"Economic Forecast For 2025 And Beyond: Growth With Continued Inflation: The economy will grow but at a slower pace than 2024. Inflation will remain above the Fed's target, with Trump’s policies limiting production while stimulating spending.",0.146,0.854,0.0,0.6858,Positive
"Honda-Nissan Mega Merger Plans: A Bold Move to Survive EV Disruption: HMC-NSANY's potential $50B merger seeks to tackle EV challenges, cut costs and compete with Tesla and BYD, reshaping the future of Japan's auto industry.",0.101,0.779,0.119,-0.1779,Negative
"As Bird Flu Concerns Increase, Don’t Forget About Normalcy Bias: Remember how few governments, businesses, and individual decision-makers were able to respond effectively to the last pandemic. The primary culprit was normalcy bias.",0.132,0.684,0.185,-0.0258,Neutral
"Theory Of Resiliency: How Manufacturers Make 2025 The Year Of Einstein: The challenges of the last five years have tested the industry’s ingenuity like never before.  Amidst the challenges, companies have found routes to resilence.",0.137,0.863,0.0,0.4767,Positive
"Hacking campaign compromised at least 16 Chrome browser extensions: Threat actors compromised at least 16 Chrome browser extensions leading to the exposure of data from over 600,000 users. A supply chain attack compromised 16 Chrome browser extensions, exposing over 600,000 users. Threat actors targeted the publishers of the …",0.0,0.782,0.218,-0.9001,Negative
"Malicious npm packages target Ethereum developers: Malicious npm packages target Ethereum developers, impersonating Hardhat plugins to steal private keys and sensitive data. Hardhat, by the Nomic Foundation, is an essential Ethereum tool, enabling streamlined smart contract and dApp development with customiza…",0.06,0.869,0.071,-0.128,Negative
SECURITY AFFAIRS MALWARE NEWSLETTER – ROUND 27: Security Affairs Malware newsletter includes a collection of the best articles and research on malware in the international landscape. 7-Zip Zero-Day Exploit Dropped: A New Playground for Infostealer & Supply Chain Attacks   Quasar RAT Disguised as an npm Pac…,0.187,0.691,0.123,0.6523,Positive
SECURITY AFFAIRS MALWARE NEWSLETTER – ROUND 25: Security Affairs Malware newsletter includes a collection of the best articles and research on malware in the international landscape. Vishing via Microsoft Teams Facilitates DarkGate Malware Intrusion   Spyware distributed through Amazon Appstore   BADBOX Bo…,0.246,0.754,0.0,0.8868,Positive
"How To Prep Cryptographic Assets For The Emerging Quantum Era: Quantum computing can render traditional encryption methods obsolete; it’s vital for companies to act now to protect themselves, their digital assets and their customers.",0.208,0.736,0.056,0.6124,Positive
"China leads battery materials as South Korea's Posco Future M faces exit; Lotte eyes LFP mass production: China's battery materials sector is thriving, backed by government subsidies, low electricity costs, and cheaper labor, enabling aggressive investment. In contrast, South Korean firms, lacking comparable support, are struggling with mounting losses and potent…",0.067,0.772,0.161,-0.6597,Negative
"10 Game-Changing Technology Trends Shaping Our Future: From groundbreaking innovations to subtle advancements, these 10 game-changing technology trends shaping our future in profound ways.",0.0,1.0,0.0,0.0,Neutral
"⚡ THN Recap: Top Cybersecurity Threats, Tools and Tips (Dec 2 - 8): This week’s cyber world is like a big spy movie. Hackers are breaking into other hackers’ setups, sneaky malware is hiding in popular software, and AI-powered scams are tricking even the smartest of us. On the other side, the good guys are busting secret onli…",0.216,0.63,0.153,0.5267,Positive
"Breakout Retailer Rises As Analyst Doubles Price Target, Sees Trump Tariffs Benefit: Ollie's Bargain Outlet was handed an upgrade early Wednesday after a slew of price hikes last week.",0.156,0.844,0.0,0.5859,Positive
Sustainability To Resilience: Adapt ESG Strategies In A Changing World: Is ESG officially dead or merely in transition? Is it possible to balance innovation and the pursuit of economic growth with protecting the planet? Some takeaways.,0.133,0.764,0.103,-0.1179,Negative
"Chinese firms take on EV truck challenges: Dominant in the electric car sector, Chinese companies have been quietly consolidating their position in the lesser-watched trucking scene -- but foreign tariffs and a perceived quality gap could signal roadblocks ahead, experts warn. The domestic supply chai…",0.026,0.939,0.036,-0.1154,Negative
5 PR Predictions & Challenges To Navigate In 2025: Here are my top five PR challenges and predictions you can anticipate in 2025 and how you can capitalize on these opportunities for growth.,0.27,0.73,0.0,0.765,Positive
"Donald Trump’s interview with ‘Meet the Press,’ fact-checked: In a Dec. 8 interview on NBC’s “Meet the Press,” President-elect Donald Trump elaborated on plans for removing people in the country illegally and imposing tariffs on trade partners — […]
The post Donald Trump’s interview with ‘Meet the Press,’ fact-checked a…",0.0,0.97,0.03,-0.1027,Negative
"The Colorado River crisis is a threat to Americaâs food supply: The Colorado River, vital for 15% of U.S. agriculture, is shrinking, threatening the nation’s food supply. The Imperial Valley, producing two-thirds of winter vegetables, faces severe water shortages. Shrinking water levels could lead to higher produce prices…",0.038,0.703,0.259,-0.9169,Negative
