Example,Logistical,Natural Disasters,Market,Regulatory,Economic,Geopolitical,Customs Delays,Supply chain disruptions,Global competition,Rising labor costs,Final Risk Factor,Final Risk Value
"The Most Dangerous People on the Internet in 2024: From Elon Musk and Donald Trump to state-sponsored hackers and crypto scammers, this was the year the online agents of chaos gained ground.",0.13625018298625946,0.3126690983772278,0.10437613725662231,0.08792968839406967,0.11304444074630737,0.21288247406482697,0.0542941689491272,0.20899704098701477,0.2182973027229309,0.0255422443151474,Natural Disasters,0.3126690983772278
"Geopolitics and AI will affect the chip industry in 2025 | KPMG: AI is making semiconductor leaders more optimistic about 2025, but headwinds could come from geopolitical and talent retention concerns.",0.17375531792640686,0.1358519345521927,0.2348574846982956,0.21302221715450287,0.32560330629348755,0.42641159892082214,0.08530059456825256,0.2910855710506439,0.3963634669780731,0.16782762110233307,Geopolitical,0.42641159892082214
"Moselle Lock Closure: How To Mitigate Supply Chain Disruption: As a result of the Moselle River accident, this critical waterway is now out of service for many months, which could have economic consequences.",0.1991591900587082,0.23096297681331635,0.14932729303836823,0.19571003317832947,0.19976308941841125,0.07772061973810196,0.24219168722629547,0.530208945274353,0.1912388801574707,0.24045871198177338,Supply chain disruptions,0.530208945274353
"NATO is working to reroute data through space, fearing Russia could slice undersea internet cables: Threats to the West's vital communications networks are escalating.",0.18593843281269073,0.14640571177005768,0.07245633751153946,0.05319603160023689,0.07017601281404495,0.31940528750419617,0.15785226225852966,0.15707704424858093,0.23197422921657562,0.006413021124899387,Geopolitical,0.31940528750419617
"The FDA says the shortage of popular weight loss drug Zepbound is over. Here's what that means for patients.: The weight loss medication tirzepatide (Mounjaro and Zepbound) is no longer in shortage, according to the FDA. Access to cheaper versions could end.",0.12305538356304169,-0.046859852969646454,0.14990589022636414,0.12793636322021484,0.11910352855920792,0.04772496595978737,0.07534057646989822,0.1928034871816635,0.14079709351062775,0.09078248590230942,Supply chain disruptions,0.1928034871816635
"4 Priorities Businesses Must Master For Success In 2025: As the business landscape evolves, leaders must focus on supply chain resilience, sustainability, workforce adaptability, and AI-driven innovation to stay competitive.",0.2084127813577652,0.1336374580860138,0.2090437263250351,0.1334771364927292,0.294904500246048,0.10357385128736496,0.06528384238481522,0.4020683467388153,0.27563491463661194,0.11078263819217682,Supply chain disruptions,0.4020683467388153
Can digital resilience be achieved beyond the IT perimeter?: To meet the current and future needs for digital resilience organizations need to see their entire digital supply chain.,0.17367492616176605,0.2690747380256653,0.080304354429245,0.15507672727108002,0.09469995647668839,0.0867520347237587,0.10698915272951126,0.4596875011920929,0.12903174757957458,0.01632636785507202,Supply chain disruptions,0.4596875011920929
Is Bringing Manufacturing Home Just An American Dream?: Tariffs and Covid-19 supply chain disruptions have made the need for domestic manufacturing more apparent than ever. But manufacturing at home is easier said than done.,0.25140631198883057,0.06770016252994537,0.09301459789276123,0.15166038274765015,0.19972561299800873,0.12115667760372162,0.2371395230293274,0.3858449161052704,0.23665976524353027,0.29270070791244507,Supply chain disruptions,0.3858449161052704
"ASEAN’s Second Renaissance Is Now: The COVID-19 pandemic and an increasingly volatile global environment have highlighted supply-chain vulnerabilities that could jeopardize ASEAN’s economic outlook. To reduce these risks, the group, under Malaysia’s chairmanship next year, must diversify its s…",0.2591542899608612,0.1788000911474228,0.18206949532032013,0.2412416934967041,0.2498832643032074,0.22533445060253143,0.15621596574783325,0.44190117716789246,0.33190181851387024,0.13147421181201935,Supply chain disruptions,0.44190117716789246
"US market recovery to boost Indian tech stocks: Manish Sonthalia: ​So, anybody and everybody can win who can get the supply chain and the unit economics right, but more comfortable in public portfolios in companies which have already demonstrated profitability and growth, so that is the reason why we have Zomato as a prefer…",0.208544060587883,0.06615997105836868,0.4526609480381012,0.16802334785461426,0.35907116532325745,0.15213991701602936,0.12927620112895966,0.3020533621311188,0.301532119512558,0.14301879703998566,Market,0.4526609480381012
How Overseas Conflicts Impact Trade Finance: The interconnectedness of global trade means no nation is immune to the impacts of geopolitical conflicts.,0.16359996795654297,0.09169518947601318,0.17188912630081177,0.17576448619365692,0.3105868399143219,0.5111379027366638,0.197500541806221,0.28792229294776917,0.4448930025100708,0.1099967211484909,Geopolitical,0.5111379027366638
"The Egg Shortage, Explained—Why Are Eggs So Expensive?: Learn why there’s an egg shortage in 2024, how bird flu has impacted chicken farms, and what it means for consumers in California and beyond.",0.16383065283298492,0.14974765479564667,0.16816572844982147,0.12178429961204529,0.24992385506629944,0.0628967434167862,0.05820707976818085,0.2534938156604767,0.15710988640785217,0.2564751207828522,Rising labor costs,0.2564751207828522
"Q&A: How AI helps make anti-fragile supply chains the new normal in 2025: Supply chains, ever more complex worldwide, are nonetheless on course to excel at handling whatever disruption comes their way. With innovative use of AI applied to lessons learned from the global market disruptions of recent years, global and domestic supply…",0.3353756070137024,0.12067564576864243,0.3091508448123932,0.2641074061393738,0.32236212491989136,0.1693633794784546,0.20263110101222992,0.6405231952667236,0.36533123254776,0.19674867391586304,Supply chain disruptions,0.6405231952667236
"Machine identities are the next big target for attackers: 86% of organizations had a security incident related to their cloud native environment within the last year, according to Venafi. As a result, 53% of organizations had to delay an application launch or slow down production time; 45% suffered outages or disrup…",0.16209138929843903,0.12866149842739105,0.18742486834526062,0.14397242665290833,0.17045636475086212,0.0617835633456707,0.12106964737176895,0.303681343793869,0.15878959000110626,0.110741525888443,Supply chain disruptions,0.303681343793869
"Five Cloud-Based Digital Transformations For Fast ROI In Manufacturing: For manufacturers looking to realize quick returns on investment from cloud transformation initiatives, the focus should be on high-impact, data-driven use cases.",0.1579967588186264,0.03459557145833969,0.1357223391532898,0.06988554447889328,0.13188959658145905,-0.007888752967119217,0.11538420617580414,0.28963351249694824,0.15342724323272705,0.17762696743011475,Supply chain disruptions,0.28963351249694824
Nvidia unveils a fleet manager for warehouse robots: One of the many AI Blueprints launched by Nvidia at CES is designed to help you manage your fleet of robots.,0.21571093797683716,-0.006868788972496986,0.13141031563282013,0.1036260649561882,0.09558403491973877,-0.03204137086868286,0.08815661817789078,0.16203656792640686,0.13934189081192017,0.04873592406511307,Logistical,0.21571093797683716
"U.S. Meatpacking Industry Faces Crisis As Trump's Deportation Plans Threaten Workforce: Heavily dependent on immigrant labor, the sector braces for disruption as deportations threaten labor shortages, higher prices, and operational instability.",0.3211309015750885,0.201321080327034,0.20092380046844482,0.10612006485462189,0.26132386922836304,0.2242070585489273,0.2718459367752075,0.488077312707901,0.21374860405921936,0.3106209933757782,Supply chain disruptions,0.488077312707901
